Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"證券代號 TT","可借券賣出股數"
"3484 TT","125,617"
"1315 TT","12,955"
"3489 TT","10,111"
"1316 TT","117,215"
"3490 TT","114,552"
"1319 TT","818,765"
"3491 TT","391,522"
"1321 TT","170,537"
"3492 TT","247,573"
"1323 TT","83,298"
"3498 TT","655,987"
"1324 TT","26,845"
"3499 TT","425,412"
"1325 TT","10,537"
"3508 TT","317,379"
"1326 TT","937,558"
"3511 TT","16,611"
"1337 TT","420,429"
"3512 TT","419,655"
"1338 TT","325,390"
"3516 TT","36,474"
"1339 TT","64,131"
"3522 TT","115,201"
"1340 TT","237,052"
"3526 TT","499,428"
"1402 TT","994,575"
"3527 TT","125,188"
"1409 TT","395,206"
"3529 TT","70,089"
"1410 TT","20,514"
"3531 TT","74,928"
"1414 TT","107,961"
"3537 TT","69,326"
"1416 TT","145,368"
"3540 TT","191,365"
"1417 TT","102,515"
"3541 TT","127,959"
"1419 TT","7,687"
"3546 TT","161,719"
"1423 TT","27,816"
"3548 TT","167,344"
"1432 TT","62,167"
"3551 TT","150,962"
"1434 TT","225,085"
"3552 TT","971,015"
"1436 TT","21,394"
"3555 TT","15,692"
"1437 TT","28,709"
"3556 TT","96,439"
"1439 TT","70,444"
"3558 TT","100,633"
"1440 TT","351,232"
"3563 TT","632,301"
"1442 TT","88,596"
"3564 TT","11,184"
"1444 TT","5,199,501"
"3567 TT","55,085"
"1445 TT","28,681"
"3577 TT","8,970"
"1446 TT","27,165"
"3581 TT","64,877"
"1447 TT","466,518"
"3587 TT","117,765"
"1451 TT","93,139"
"3594 TT","164,832"
"1452 TT","285,266"
"3609 TT","6,621"
"1453 TT","22,640"
"3611 TT","43,380"
"1454 TT","34,540"
"3615 TT","189,978"
"1455 TT","966,912"
"3623 TT","40,961"
"1456 TT","13,815"
"3624 TT","38,038"
"1457 TT","355,138"
"3625 TT","907,857"
"1459 TT","52,016"
"3628 TT","16,069"
"1460 TT","217,747"
"3630 TT","2,207,808"
"1463 TT","336,036"
"3631 TT","15,089"
"1464 TT","292,886"
"3632 TT","60,479"
"1465 TT","10,770"
"3642 TT","52,941"
"1466 TT","21,664"
"3646 TT","19,543"
"1467 TT","71,223"
"3652 TT","14,513"
"1470 TT","31,086"
"3663 TT","15,228"
"1473 TT","56,985"
"3664 TT","69,984"
"1474 TT","87,074"
"3666 TT","200,092"
"1476 TT","440,989"
"3672 TT","19,149"
"1477 TT","393,080"
"3675 TT","156,095"
"1503 TT","39,024"
"3680 TT","57,484"
"1504 TT","702,231"
"3685 TT","14,232"
"1506 TT","234,696"
"3687 TT","31,212"
"1507 TT","93,639"
"3689 TT","643,056"
"1513 TT","370,090"
"3691 TT","245,198"
"1514 TT","300,798"
"3693 TT","26,663"
"1515 TT","1,504,575"
"3707 TT","1,490,660"
"1516 TT","13,687"
"4102 TT","15,813"
"1517 TT","234,643"
"4103 TT","13,662"
"1519 TT","651,511"
"4105 TT","336,690"
"1521 TT","39,391"
"4107 TT","197,156"
"1522 TT","499,878"
"4109 TT","48,682"
"1524 TT","231,175"
"4111 TT","42,434"
"1525 TT","31,274"
"4113 TT","75,100"
"1526 TT","531,928"
"4114 TT","207,885"
"1527 TT","347,112"
"4116 TT","17,914"
"1528 TT","336,822"
"4120 TT","55,295"
"1530 TT","13,744"
"4121 TT","68,052"
"1531 TT","123,769"
"4123 TT","107,524"
"1532 TT","219,931"
"4126 TT","42,625"
"1533 TT","26,776"
"4127 TT","48,165"
"1535 TT","14,573"
"4128 TT","219,034"
"1536 TT","679,527"
"4129 TT","164,041"
"1537 TT","85,008"
"4130 TT","139,966"
"1539 TT","47,495"
"4138 TT","16,125"
"1540 TT","56,180"
"4147 TT","636,079"
"1541 TT","41,489"
"4153 TT","21,815"
"1558 TT","43,145"
"4161 TT","42,958"
"1560 TT","610,799"
"4162 TT","437,886"
"1568 TT","556,458"
"4163 TT","48,396"
"1582 TT","285,414"
"4167 TT","148,025"
"1583 TT","9,048"
"4173 TT","85,491"
"1589 TT","228,780"
"4174 TT","481,055"
"1590 TT","249,437"
"4175 TT","9,196"
"1592 TT","102,735"
"4180 TT","50,041"
"1598 TT","31,154"
"4205 TT","38,244"
"1603 TT","30,984"
"4207 TT","52,094"
"1604 TT","231,330"
"4303 TT","53,415"
"1605 TT","3,642,128"
"4305 TT","2,759"
"1608 TT","977,037"
"4401 TT","37,030"
"1609 TT","1,814,027"
"4406 TT","6,340"
"1611 TT","173,024"
"4416 TT","1,284"
"1612 TT","412,812"
"4417 TT","88,461"
"1614 TT","11,772"
"4420 TT","20,056"
"1615 TT","93,365"
"4429 TT","5,340"
"1617 TT","213,407"
"4430 TT","7,349"
"1618 TT","89,755"
"4432 TT","14,281"
"1626 TT","25,057"
"4433 TT","5,833"
"1701 TT","94,885"
"4502 TT","283,923"
"1702 TT","181,341"
"4506 TT","38,916"
"1704 TT","588,360"
"4510 TT","377,505"
"1707 TT","152,648"
"4513 TT","94,240"
"1708 TT","727,316"
"4523 TT","24,156"
"1709 TT","371,037"
"4527 TT","22,824"
"1710 TT","1,903,464"
"4528 TT","315,167"
"1711 TT","170,997"
"4529 TT","370,130"
"1712 TT","527,621"
"4533 TT","166,615"
"1713 TT","9,847"
"4534 TT","171,159"
"1714 TT","757,786"
"4535 TT","10,916"
"1715 TT","172,540"
"4541 TT","20,479"
"1717 TT","266,421"
"4543 TT","7,360"
"1718 TT","1,499,041"
"4549 TT","24,128"
"1720 TT","111,748"
"4550 TT","12,213"
"1721 TT","53,066"
"4556 TT","2,953"
"1722 TT","529,316"
"4706 TT","9,951"
"1723 TT","87,258"
"4707 TT","90,431"
"1724 TT","22,884"
"4711 TT","21,078"
"1725 TT","6,739"
"4714 TT","684,185"
"1726 TT","21,874"
"4716 TT","63,245"
"1727 TT","28,578"
"4721 TT","3,801,851"
"1730 TT","51,706"
"4728 TT","44,771"
"1731 TT","22,951"
"4735 TT","121,558"
"1733 TT","52,695"
"4736 TT","93,746"
"1734 TT","42,468"
"4739 TT","1,968,064"
"1735 TT","14,991"
"4743 TT","118,227"
"1736 TT","106,865"
"4745 TT","34,218"
"1737 TT","68,668"
"4747 TT","8,443"
"1762 TT","31,781"
"4803 TT","89,749"
"1773 TT","25,015"
"4804 TT","94,272"
"1776 TT","4,048"
"4806 TT","215,283"
"1783 TT","31,078"
"4903 TT","817,786"
"1786 TT","31,465"
"4905 TT","41,012"
"1789 TT","476,060"
"4907 TT","6,724"
"1802 TT","1,556,751"
"4908 TT","54,295"
"1806 TT","99,359"
"4909 TT","39,310"
"1808 TT","121,179"
"4933 TT","29,579"
"1809 TT","274,101"
"4939 TT","949,496"
"1810 TT","143,006"
"4944 TT","84,882"
"1817 TT","50,943"
"4947 TT","298,220"
"1902 TT","417,061"
"4953 TT","36,553"
"1903 TT","14,288"
"4966 TT","438,872"
"1904 TT","4,001,531"
"4971 TT","118,674"
"1905 TT","1,002,439"
"4972 TT","12,767"
"1906 TT","564,225"
"4973 TT","53,913"
"1907 TT","867,831"
"4974 TT","614,384"
"1909 TT","2,938,488"
"4979 TT","232,675"
"2002 TT","4,780,146"
"4991 TT","576,299"
"2006 TT","297,059"
"4995 TT","12,137"
"2008 TT","15,241"
"5009 TT","360,946"
"2010 TT","90,497"
"5011 TT","1,910"
"2012 TT","27,633"
"5013 TT","38,511"
"2013 TT","26,362"
"5014 TT","1,887,891"
"2014 TT","4,406,907"
"5015 TT","53,982"
"2015 TT","76,599"
"5016 TT","12,848"
"2017 TT","222,155"
"5102 TT","25,270"
"2020 TT","131,368"
"5201 TT","84,723"
"2023 TT","2,300,112"
"5206 TT","10,162"
"2024 TT","68,154"
"5210 TT","48,638"
"2027 TT","509,309"
"5211 TT","14,016"
"2029 TT","353,166"
"5213 TT","108,555"
"2030 TT","1,570,816"
"5230 TT","295,224"
"2031 TT","2,148,313"
"5245 TT","133,804"
"2032 TT","91,299"
"5251 TT","73,283"
"2033 TT","14,747"
"5255 TT","665,196"
"2034 TT","640,985"
"5263 TT","136,018"
"2038 TT","107,853"
"5272 TT","125,444"
"2049 TT","1,460,734"
"5274 TT","53,877"
"2059 TT","72,706"
"5281 TT","32,556"
"2062 TT","179,656"
"5287 TT","34,163"
"2069 TT","322,392"
"5289 TT","709,482"
"2101 TT","104,389"
"5291 TT","97,101"
"2102 TT","161,286"
"5301 TT","26,423"
"2103 TT","516,574"
"5302 TT","68,399"
"2104 TT","840,133"
"5306 TT","63,232"
"2105 TT","1,188,626"
"5309 TT","112,681"
"2106 TT","117,162"
"5310 TT","22,656"
"2107 TT","112,980"
"5312 TT","8,147"
"2108 TT","208,980"
"5315 TT","160,509"
"2109 TT","88,813"
"5317 TT","122,651"
"2114 TT","13,421"
"5321 TT","2,640"
"2115 TT","33,804"
"5328 TT","140,984"
"2201 TT","361,648"
"5347 TT","606,900"
"2204 TT","394,447"
"5349 TT","243,516"
"2206 TT","419,033"
"5351 TT","227,476"
"2207 TT","48,915"
"5353 TT","22,117"
"2208 TT","238,719"
"5355 TT","78,549"
"2227 TT","74,842"
"5356 TT","144,422"
"2228 TT","123,140"
"5371 TT","348,305"
"2231 TT","142,164"
"5386 TT","23,772"
"2236 TT","44,635"
"5392 TT","241,072"
"2239 TT","89,295"
"5398 TT","15,174"
"2301 TT","2,940,016"
"5403 TT","86,988"
"2303 TT","23,706,101"
"5410 TT","72,126"
"2308 TT","1,208,222"
"5425 TT","551,795"
"2311 TT","5,007,855"
"5426 TT","86,103"
"2312 TT","1,020,018"
"5432 TT","978"
"2313 TT","6,344,706"
"5438 TT","109,277"
"2314 TT","1,866,054"
"5439 TT","214,007"
"2316 TT","539,013"
"5443 TT","447,376"
"2317 TT","9,845,861"
"5452 TT","66,770"
"2323 TT","1,434,100"
"5457 TT","1,660,059"
"2324 TT","3,305,833"
"5460 TT","42,950"
"2325 TT","461,297"
"5464 TT","18,524"
"2327 TT","643,536"
"5465 TT","280,801"
"2328 TT","2,855,187"
"5474 TT","54,329"
"2330 TT","6,164,923"
"5478 TT","100,294"
"2331 TT","330,077"
"5480 TT","81,808"
"2332 TT","710,106"
"5481 TT","39,386"
"2337 TT","16,686,329"
"5483 TT","4,700,724"
"2338 TT","587,058"
"5487 TT","8,642"
"2340 TT","1,022,411"
"5488 TT","97,179"
"2344 TT","17,911,563"
"5489 TT","20,244"
"2345 TT","1,815,080"
"5490 TT","196,686"
"2347 TT","716,964"
"5491 TT","228,294"
"2348 TT","19,369"
"5493 TT","7,108"
"2349 TT","919,530"
"5498 TT","176,835"
"2351 TT","685,604"
"5508 TT","89,221"
"2352 TT","5,594,402"
"5512 TT","366,368"
"2353 TT","2,004,609"
"5514 TT","9,513"
"2354 TT","2,538,204"
"5516 TT","4,190"
"2355 TT","344,902"
"5520 TT","2,490"
"2356 TT","3,837,434"
"5523 TT","12,940"
"2357 TT","535,389"
"5530 TT","468,442"
"2359 TT","879,900"
"5536 TT","292,378"
"2360 TT","291,683"
"5603 TT","37,694"
"2362 TT","167,389"
"5604 TT","2,911"
"2363 TT","708,831"
"5609 TT","157,281"
"2365 TT","106,820"
"5703 TT","16,039"
"2367 TT","1,207,922"
"5704 TT","1,217"
"2368 TT","1,008,045"
"5820 TT","369,576"
"2369 TT","919,370"
"5903 TT","7,387"
"2371 TT","5,510,167"
"5904 TT","16,591"
"2374 TT","459,879"
"5905 TT","73,152"
"2375 TT","285,322"
"6015 TT","156,558"
"2376 TT","529,618"
"6016 TT","325,504"
"2377 TT","1,784,134"
"6020 TT","12,420"
"2379 TT","372,630"
"6021 TT","87,561"
"2380 TT","82,762"
"6023 TT","20,968"
"2382 TT","2,534,131"
"6024 TT","112,797"
"2383 TT","907,106"
"6026 TT","330,968"
"2385 TT","190,940"
"6104 TT","172,037"
"2387 TT","270,133"
"6105 TT","319,578"
"2390 TT","140,344"
"6107 TT","488,202"
"2392 TT","258,592"
"6109 TT","12,007"
"2393 TT","494,646"
"6111 TT","433,847"
"2395 TT","246,542"
"6113 TT","16,847"
"2397 TT","80,762"
"6114 TT","77,363"
"2399 TT","1,309,475"
"6118 TT","64,409"
"2401 TT","3,824,583"
"6121 TT","513,074"
"2402 TT","778,402"
"6122 TT","190,364"
"2404 TT","299,264"
"6123 TT","236,981"
"2405 TT","5,233,186"
"6124 TT","1,804"
"2406 TT","926,276"
"6125 TT","78,522"
"2408 TT","3,411,225"
"6126 TT","204,505"
"2409 TT","0"
"6127 TT","610,915"
"2412 TT","2,612,909"
"6129 TT","107,353"
"2413 TT","263,856"
"6138 TT","1,000,710"
"2414 TT","50,854"
"6140 TT","1,973"
"2417 TT","309,273"
"6143 TT","249,190"
"2419 TT","879,250"
"6146 TT","75,459"
"2420 TT","134,110"
"6147 TT","2,683,132"
"2421 TT","1,734,480"
"6148 TT","27,849"
"2423 TT","100,785"
"6151 TT","55,608"
"2424 TT","571"
"6154 TT","6,410"
"2425 TT","181,326"
"6156 TT","241,464"
"2426 TT","453,285"
"6158 TT","114,565"
"2427 TT","174,305"
"6160 TT","33,743"
"2428 TT","555,474"
"6161 TT","219,755"
"2430 TT","38,827"
"6163 TT","63,283"
"2431 TT","200,172"
"6170 TT","129,962"
"2433 TT","11,662"
"6171 TT","11,313"
"2436 TT","1,063,905"
