Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"證券代號 TT","可借券賣出股數"
"9949 TT","10,807"
"3016 TT","637,985"
"9950 TT","15,328"
"3017 TT","876,167"
"9951 TT","189,255"
"3018 TT","336,961"
"9960 TT","19,326"
"3019 TT","7,516,873"
"9962 TT","45,362"
"3021 TT","61,886"
"3022 TT","318,082"
"3023 TT","290,550"
"3024 TT","225,293"
"3025 TT","243,971"
"3026 TT","142,787"
"3027 TT","66,463"
"3028 TT","86,447"
"3029 TT","589,932"
"3030 TT","157,121"
"3031 TT","514,431"
"3032 TT","190,503"
"3033 TT","115,859"
"3034 TT","602,631"
"3035 TT","2,364,232"
"3036 TT","851,780"
"3037 TT","3,595,179"
"3038 TT","77,779"
"3040 TT","55,153"
"3041 TT","3,490,143"
"3042 TT","315,185"
"3044 TT","631,188"
"3045 TT","641,271"
"3047 TT","112,119"
"3048 TT","191,890"
"3050 TT","142,305"
"3052 TT","60,399"
"3054 TT","39,774"
"3055 TT","204,487"
"3056 TT","192,595"
"3057 TT","189,665"
"3058 TT","103,775"
"3059 TT","4,257,023"
"3060 TT","313,518"
"3062 TT","445,292"
"3090 TT","112,067"
"3094 TT","206,537"
"3130 TT","11,175"
"3149 TT","239,551"
"3164 TT","22,064"
"3167 TT","743,774"
"3189 TT","1,314,276"
"3209 TT","178,405"
"3231 TT","3,063,507"
"3257 TT","370,925"
"3266 TT","13,094"
"3296 TT","260,429"
"3305 TT","76,506"
"3308 TT","92,417"
"3311 TT","907,974"
"3312 TT","91,652"
"3315 TT","52,839"
"3321 TT","224,997"
"3338 TT","46,645"
"3346 TT","352,954"
"3356 TT","41,923"
"3376 TT","387,616"
"3380 TT","1,753,751"
"3383 TT","58,469"
"3406 TT","2,423,752"
"3413 TT","1,359,191"
"3416 TT","26,131"
"3419 TT","190,257"
"3432 TT","66,563"
"3437 TT","1,374,798"
"3443 TT","2,224,013"
"3450 TT","769,540"
"3454 TT","473,628"
"3481 TT","3,000,619"
"3494 TT","154,696"
"3501 TT","102,769"
"3504 TT","1,621,049"
"3514 TT","67,430"
"3515 TT","720,764"
"3518 TT","25,069"
"3519 TT","4"
"3528 TT","112,146"
"3532 TT","661,790"
"3533 TT","740,973"
"3535 TT","301,688"
"3545 TT","2,225,396"
"3550 TT","38,970"
"3561 TT","678,264"
"3576 TT","178,833"
"3579 TT","245,568"
"3583 TT","91,998"
"3588 TT","43,626"
"3591 TT","130,121"
"3596 TT","911,634"
"3605 TT","237,498"
"3607 TT","63,194"
"3617 TT","53,222"
"3622 TT","581,042"
"3645 TT","533,371"
"3653 TT","436,252"
"3661 TT","2,227,125"
"3665 TT","806,415"
"3669 TT","18,452"
"3673 TT","6,360,529"
"3679 TT","61,156"
"3682 TT","1,716,912"
"3686 TT","303,575"
"3694 TT","383,161"
"3698 TT","426,900"
"3702 TT","2,178,137"
"3703 TT","244,300"
"3704 TT","79,826"
"3705 TT","80,783"
"3706 TT","771,070"
"3708 TT","286,346"
"4104 TT","95,326"
"4106 TT","34,740"
"4108 TT","152,634"
"4119 TT","85,834"
"4133 TT","65,533"
"4137 TT","203,786"
"4141 TT","62,952"
"4142 TT","119,492"
"4144 TT","35,732"
"4164 TT","60,374"
"4190 TT","43,888"
"4306 TT","87,257"
"4414 TT","886,787"
"4426 TT","245,059"
"4438 TT","52,873"
"4526 TT","65,482"
"4532 TT","687,887"
"4536 TT","8,273"
"4545 TT","21,817"
"4551 TT","174,806"
"4552 TT","443,406"
"4555 TT","9,456"
"4557 TT","72,856"
"4720 TT","11,079"
"4722 TT","46,327"
"4725 TT","142,182"
"4737 TT","17,599"
"4746 TT","199,055"
"4755 TT","49,440"
"4763 TT","43,188"
"4904 TT","755,043"
"4906 TT","1,456,800"
"4912 TT","76,775"
"4915 TT","838,628"
"4916 TT","328,713"
"4919 TT","1,341,069"
"4927 TT","192,351"
"4930 TT","42,104"
"4934 TT","615,701"
"4935 TT","205,960"
"4938 TT","1,648,025"
"4942 TT","31,068"
"4943 TT","825,604"
"4952 TT","131,188"
"4956 TT","427,772"
"4958 TT","1,421,014"
"4960 TT","1,744,646"
"4968 TT","718,852"
"4976 TT","2,581,479"
"4977 TT","950,808"
"4984 TT","143,241"
"4994 TT","22,424"
"4999 TT","59,263"
"5007 TT","123,504"
"5203 TT","22,386"
"5215 TT","25,809"
"5225 TT","60,629"
"5234 TT","88,967"
"5243 TT","982,617"
"5258 TT","49,592"
"5264 TT","915,518"
"5269 TT","438,503"
"5284 TT","34,440"
"5285 TT","181,765"
"5288 TT","58,832"
"5305 TT","710,758"
"5388 TT","340,127"
"5434 TT","170,227"
"5469 TT","634,866"
"5471 TT","151,069"
"5515 TT","41,847"
"5519 TT","29,451"
"5521 TT","329,541"
"5522 TT","309,486"
"5525 TT","14,874"
"5531 TT","95,526"
"5533 TT","102,752"
"5534 TT","356,891"
"5538 TT","9,429"
"5607 TT","106,031"
"5608 TT","154,801"
"5706 TT","13,565"
"5871 TT","1,434,088"
"5880 TT","4,347,788"
"5907 TT","87,444"
"6005 TT","428,250"
"6108 TT","733,540"
"6112 TT","63,457"
"6115 TT","32,280"
"6116 TT","31,120,821"
"6117 TT","9,958"
"6120 TT","894,474"
"6128 TT","22,102"
"6133 TT","92,147"
"6136 TT","38,285"
"6139 TT","896,831"
"6141 TT","875,121"
"6142 TT","555,930"
"6145 TT","579,624"
"6152 TT","80,931"
"6153 TT","391,101"
"6155 TT","68,923"
"6164 TT","61,906"
"6166 TT","183,042"
"6168 TT","576,972"
"6176 TT","2,340,890"
"6177 TT","267,970"
"6183 TT","13,830"
"6184 TT","36,221"
"6189 TT","117,800"
"6191 TT","865,311"
"6196 TT","507,591"
"6197 TT","185,437"
"6201 TT","35,300"
"6202 TT","261,398"
"6205 TT","155,542"
"6206 TT","68,092"
"6209 TT","3,628,449"
"6213 TT","997,706"
"6214 TT","131,916"
"6215 TT","947,458"
"6216 TT","64,355"
"6224 TT","109,219"
"6226 TT","277,359"
"6230 TT","398,606"
"6235 TT","329,556"
"6239 TT","1,079,952"
"6251 TT","1,927,620"
"6257 TT","386,946"
"6269 TT","2,067,992"
"6271 TT","368,891"
"6277 TT","55,740"
"6278 TT","110,332"
"6281 TT","19,927"
"6282 TT","830,962"
"6283 TT","502,250"
"6285 TT","823,967"
"6405 TT","186,343"
"6409 TT","22,080"
"6412 TT","247,544"
"6414 TT","356,165"
"6415 TT","67,646"
"6422 TT","169,244"
"6431 TT","74,354"
"6442 TT","238,781"
"6443 TT","549,772"
"6449 TT","278,408"
"6451 TT","240,802"
"6452 TT","91,426"
"6456 TT","3,862,331"
"6464 TT","4,513"
"6477 TT","15,695"
"6504 TT","28,794"
"6505 TT","748,278"
"6525 TT","351,883"
"6531 TT","124,886"
"6552 TT","380,986"
"6605 TT","30,578"
"8011 TT","526,814"
"8016 TT","405,566"
"8021 TT","264,932"
"8039 TT","1,115,647"
"8046 TT","204,373"
"8070 TT","103,957"
"8081 TT","85,069"
"8103 TT","104,595"
"8105 TT","3,477,244"
"8110 TT","800,588"
"8112 TT","3,170,418"
"8114 TT","54,613"
"8131 TT","245,121"
"8150 TT","1,478,145"
"8163 TT","360,830"
"8201 TT","146,388"
"8210 TT","71,019"
"8213 TT","166,832"
"8215 TT","597,363"
"8222 TT","73,715"
"8249 TT","299,880"
"8261 TT","196,273"
"8271 TT","307,542"
"8341 TT","165,403"
"8374 TT","1,241,181"
"8404 TT","441,766"
"8411 TT","59,098"
"8422 TT","40,122"
"8427 TT","4,810"
"8429 TT","277,629"
"8442 TT","4,579"
"8443 TT","26,255"
"8454 TT","25,125"
"8463 TT","25,003"
"8464 TT","176,934"
"8466 TT","36,591"
"8467 TT","1,940"
"8473 TT","63,238"
"8480 TT","11,560"
"8488 TT","2,652"
"8926 TT","219,437"
"8940 TT","5,970"
"8996 TT","102,118"
"9103 TT","77,017"
"9105 TT","498,969"
"911616 TT","239,940"
"9136 TT","274,865"
"9802 TT","192,415"
"9902 TT","72,506"
"9904 TT","866,734"
"9905 TT","54,055"
"9906 TT","27,924"
"9907 TT","320,600"
"9908 TT","26,661"
"9910 TT","355,317"
"9911 TT","219,924"
"9912 TT","66,271"
"9914 TT","176,132"
"9917 TT","53,898"
"9918 TT","2,386"
"9919 TT","75,908"
"9921 TT","178,534"
"9924 TT","103,254"
"9925 TT","67,933"
"9926 TT","1,935"
"9927 TT","172,891"
"9930 TT","17,314"
"9931 TT","637"
"9933 TT","317,041"
"9934 TT","1,124,961"
"9937 TT","9,554"
"9938 TT","241,306"
"9939 TT","377,123"
"9940 TT","87,077"
"9941 TT","349,882"
"9942 TT","28,548"
"9943 TT","55,322"
"9944 TT","46,036"
"9945 TT","762,693"
"9946 TT","34,039"
"9955 TT","28,184"
"9958 TT","50,047"
