Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"1464" TT,"235370","13:24:10.12"
"1465" TT,"10618",""
"1466" TT,"21910",""
"1467" TT,"71075",""
"1470" TT,"31026",""
"1473" TT,"57870",""
"1474" TT,"90685",""
"1476" TT,"431247","13:25:54.97"
"1477" TT,"373811","13:32:51.10"
"1503" TT,"34408","13:23:32.84"
"1504" TT,"599005","13:32:51.05"
"1506" TT,"223298",""
"1507" TT,"81433","13:24:40.38"
"1513" TT,"337316","13:29:10.65"
"1514" TT,"298805",""
"1515" TT,"1589169",""
"1516" TT,"11944",""
"1517" TT,"215799",""
"1519" TT,"533371","13:24:45.49"
"1521" TT,"40383",""
"1522" TT,"307950","13:29:11.16"
"1524" TT,"229435",""
"1525" TT,"31376",""
"1526" TT,"511625","09:05:20.73"
"1527" TT,"323153","13:29:16.84"
"1528" TT,"324157",""
"1530" TT,"13618",""
"1531" TT,"120761",""
"1532" TT,"218202","13:29:19.91"
"1533" TT,"26898",""
"1535" TT,"10802","13:23:55.26"
"1536" TT,"447489","13:29:28.07"
"1537" TT,"83327","13:29:25.87"
"1539" TT,"49326",""
"1540" TT,"55432",""
"1541" TT,"41568",""
"1558" TT,"41601","13:27:31.33"
"1560" TT,"612998","13:24:33.25"
"1565" TT,"93471","13:25:38.36"
"1566" TT,"86591",""
"1568" TT,"498640","13:25:30.20"
"1569" TT,"978541","13:29:01.82"
"1570" TT,"41435",""
"1580" TT,"45579",""
"1582" TT,"273411","13:29:25.86"
"1583" TT,"9063",""
"1584" TT,"202332",""
"1586" TT,"377403","13:24:59.29"
"1589" TT,"225050","13:26:15.17"
"1590" TT,"239784","13:26:00.12"
"1592" TT,"93015",""
"1593" TT,"15611",""
"1595" TT,"89359",""
"1597" TT,"1164724",""
"1598" TT,"31640",""
"1599" TT,"34719",""
"1603" TT,"28344","13:29:25.89"
"1604" TT,"216707","13:23:50.79"
"1605" TT,"3166084","13:29:16.28"
"1608" TT,"844896","13:24:24.16"
"1609" TT,"1576324","13:29:17.74"
"1611" TT,"163539",""
"1612" TT,"389877",""
"1614" TT,"10031","13:23:38.21"
"1615" TT,"60416",""
"1617" TT,"209598",""
"1618" TT,"82900",""
"1626" TT,"24554","13:24:04.03"
"1701" TT,"82614","13:29:16.94"
"1702" TT,"136748","13:24:35.31"
"1704" TT,"574835","13:24:41.12"
"1707" TT,"144101","13:25:54.18"
"1708" TT,"508179","13:24:54.47"
"1709" TT,"353256","13:08:08.70"
"1710" TT,"1982345",""
"1711" TT,"121057","13:29:13.77"
"1712" TT,"525496","13:24:43.33"
"1713" TT,"9839",""
"1714" TT,"638522","13:29:26.75"
"1715" TT,"140062","13:23:59.92"
"1717" TT,"209395","13:29:10.82"
"1718" TT,"1454067","13:24:35.32"
"1720" TT,"92195","13:28:18.53"
"1721" TT,"58125",""
"1722" TT,"361062","13:32:55.11"
"1723" TT,"64254","13:22:45.16"
"1724" TT,"24073",""
"1725" TT,"6799",""
"1726" TT,"23678",""
"1727" TT,"27876",""
"1730" TT,"51776",""
"1731" TT,"24040",""
"1733" TT,"37856","13:29:24.71"
"1734" TT,"36171","13:23:59.56"
"1735" TT,"14553",""
"1736" TT,"90870","13:24:22.01"
"1737" TT,"65113","13:29:22.89"
"1742" TT,"0",""
"1752" TT,"62428","13:24:06.63"
"1762" TT,"25698","13:24:02.93"
"1773" TT,"25024",""
"1776" TT,"4108",""
"1777" TT,"13512",""
"1781" TT,"0",""
"1783" TT,"33380",""
"1784" TT,"173332","13:17:52.25"
"1785" TT,"927470",""
"1786" TT,"33146",""
"1787" TT,"42840",""
"1788" TT,"5283",""
"1789" TT,"267459","13:25:23.48"
"1795" TT,"139022","13:25:03.35"
"1799" TT,"54603",""
"1802" TT,"1382592","13:32:54.53"
"1806" TT,"96180",""
"1808" TT,"111195","13:29:04.71"
"1809" TT,"269932",""
"1810" TT,"139140",""
"1813" TT,"8794",""
"1815" TT,"3270919","13:29:09.72"
"1817" TT,"49556",""
"1902" TT,"370137","12:08:02.18"
"1903" TT,"13312",""
"1904" TT,"2418844","13:29:18.68"
"1905" TT,"884264","13:24:41.48"
"1906" TT,"533941","13:29:08.05"
"1907" TT,"562005","13:29:02.83"
"1909" TT,"2836306","13:29:00.59"
"2002" TT,"4080716","13:29:10.87"
"2006" TT,"285564","13:29:17.95"
"2008" TT,"15281",""
"2010" TT,"74335","13:23:38.15"
"2012" TT,"27455",""
"2013" TT,"26312",""
"2014" TT,"4305608",""
"2015" TT,"72304","13:29:01.94"
"2017" TT,"218685",""
"2020" TT,"128923",""
"2023" TT,"700","13:25:00.86"
"2024" TT,"67434",""
"2027" TT,"468841","13:24:27.22"
"2029" TT,"366295","13:24:19.13"
"2030" TT,"1556311","13:29:16.53"
"2031" TT,"2008378","13:29:26.92"
"2032" TT,"89633",""
"2033" TT,"14867",""
"2034" TT,"482863","13:24:33.08"
"2035" TT,"2007",""
"2038" TT,"108618",""
"2049" TT,"1335678","13:25:06.43"
"2059" TT,"262","13:29:47.66"
"2062" TT,"134898","13:29:10.75"
"2063" TT,"5857",""
"2064" TT,"4986",""
"2066" TT,"17293",""
"2069" TT,"322592",""
"2101" TT,"76906","13:29:11.83"
"2102" TT,"55252","13:29:01.74"
"2103" TT,"39","13:25:37.13"
"2104" TT,"808112","13:29:16.47"
"2105" TT,"330270","13:29:12.11"
"2106" TT,"33367","13:29:23.11"
"2107" TT,"110977",""
"2108" TT,"196587","13:24:05.91"
"2109" TT,"88927",""
"2114" TT,"13587","13:23:44.15"
"2115" TT,"31180",""
"2201" TT,"211596","13:32:55.95"
"2204" TT,"396019","13:24:59.48"
"2206" TT,"426309",""
"2207" TT,"42493","13:21:39.16"
"2208" TT,"68030","13:29:28.02"
"2221" TT,"123739",""
"2227" TT,"74525",""
"2228" TT,"110797","13:24:57.44"
"2230" TT,"42917",""
"2231" TT,"141986","13:24:45.07"
"2233" TT,"385249","13:29:34.73"
"2235" TT,"9481",""
"2236" TT,"44775",""
"2239" TT,"89174",""
"2301" TT,"2484209","13:24:59.78"
"2303" TT,"450639","13:29:35.41"
"2308" TT,"962128","13:29:10.51"
"2311" TT,"4711170","13:24:37.44"
"2312" TT,"867829","13:29:23.21"
"2313" TT,"5518744","13:29:30.87"
"2314" TT,"1424947","13:25:03.58"
"2316" TT,"521043","13:24:42.36"
"2317" TT,"9685576","13:29:22.36"
"2323" TT,"1303786","13:29:27.03"
"2324" TT,"2676457","13:32:08.19"
"2325" TT,"409019","13:24:02.11"
"2327" TT,"568010","13:28:08.06"
"2328" TT,"2836947",""
"2330" TT,"5964811","13:29:10.18"
"2331" TT,"290427","13:24:27.42"
"2332" TT,"693306","13:29:01.75"
"2338" TT,"529690","13:24:21.34"
"2340" TT,"936522","13:29:23.79"
"2344" TT,"16666937","13:27:19.80"
"2345" TT,"1676336","13:29:00.60"
"2347" TT,"665774","13:29:24.88"
"2348" TT,"21016",""
"2349" TT,"909942",""
"2351" TT,"680559","13:24:59.92"
"2352" TT,"4486674","13:25:41.05"
"2353" TT,"1446735","13:29:35.31"
"2354" TT,"2305412","13:29:16.61"
"2355" TT,"327448","13:24:30.37"
"2356" TT,"3522584","13:29:12.14"
"2357" TT,"342555","13:29:51.57"
"2359" TT,"668977","13:29:22.96"
"2360" TT,"252401","13:29:08.08"
"2362" TT,"161293","13:14:02.76"
"2363" TT,"647282","13:29:08.96"
"2365" TT,"88638","13:24:01.69"
"2367" TT,"805112","13:24:57.25"
"2368" TT,"957533","13:29:10.91"
"2369" TT,"655039","13:29:09.90"
"2371" TT,"4775260","12:40:02.77"
"2374" TT,"189370","13:29:20.84"
"2375" TT,"285130",""
"2376" TT,"488213","13:29:06.87"
"2377" TT,"1440054","13:29:25.50"
"2379" TT,"338040","13:29:12.27"
"2380" TT,"80900",""
"2382" TT,"1806330","13:29:10.76"
"2383" TT,"569298","13:32:28.48"
"2385" TT,"184715","13:32:18.64"
"2387" TT,"256206","13:24:56.35"
"2390" TT,"140412",""
"2392" TT,"257130","13:24:53.05"
"2393" TT,"416660","13:25:00.10"
"2395" TT,"199160","13:29:25.60"
"2397" TT,"69114","13:24:51.37"
"2399" TT,"1433053","09:27:23.27"
"2401" TT,"3029428","13:29:16.25"
"2402" TT,"684065","13:28:00.75"
"2404" TT,"289146","13:29:08.71"
"2405" TT,"5251333","13:19:53.95"
"2406" TT,"700055","13:29:22.98"
"2408" TT,"1991490","13:30:05.73"
"2409" TT,"0",""
"2412" TT,"1955193","13:29:22.09"
"2413" TT,"231103","09:27:23.33"
"2414" TT,"52384",""
"2417" TT,"300562","09:27:23.29"
"2419" TT,"767563","13:29:27.67"
"2420" TT,"128078",""
"2421" TT,"1330807","13:44:36.45"
"2423" TT,"71100",""
"2424" TT,"568",""
"2425" TT,"111224","09:29:33.18"
"2426" TT,"428121","13:29:05.96"
"2427" TT,"210112","13:25:00.29"
"2428" TT,"552570",""
"2430" TT,"34262","13:23:59.96"
"2431" TT,"187143","09:27:23.33"
"2433" TT,"11981",""
"2436" TT,"1028590","13:24:21.16"
"2439" TT,"1881177","13:18:36.52"
"2441" TT,"334884","13:29:16.39"
"2442" TT,"311861",""
"2443" TT,"32817",""
"2444" TT,"1497798","11:47:44.50"
"2448" TT,"3221350","13:29:59.62"
"2449" TT,"681111","13:29:16.45"
"2450" TT,"90811","13:29:16.73"
"2451" TT,"95903","13:29:00.37"
"2453" TT,"232202",""
"2454" TT,"2498142","13:29:25.57"
"2455" TT,"721239","13:29:35.36"
"2456" TT,"751016","13:29:22.96"
"2457" TT,"590594","13:24:42.06"
"2458" TT,"1300509","09:22:45.64"
"2459" TT,"27351","13:29:11.73"
"2460" TT,"110108","09:27:23.31"
"2461" TT,"252439","13:25:00.44"
"2462" TT,"120706",""
"2464" TT,"948308","13:25:00.45"
